Year,Country,Area_harvested,Yield ,Production
1961,165,4639000,8222,3814000
1962,165,4923000,8178,4026000
1963,165,5022000,8303,4170000
1964,165,5019000,8292,4162000
1965,165,5318000,8631,4590000
1966,165,5155000,7597,3916000
1967,165,5344000,8110,4334000
1968,165,5983000,10727,6418000
1969,165,6160000,10744,6618000
1970,165,6229000,11710,7294000
1971,165,5977609,10833,6475693
1972,165,5797000,11887,6890851
1973,165,5970649,12465,7442570
1974,165,6112691,12480,7628503
1975,165,5812310,13202,7673440
1976,165,6110599,14222,8690713
1977,165,6390069,14310,9143873
1978,165,6360000,13156,8367200
1979,165,6687100,14879,9950000
1980,165,6923700,15680,10856500
1981,165,6983700,16431,11474600
1982,165,7222900,15651,11304200
1983,165,7397900,16781,12414400
1984,165,7343200,14819,10881900
1985,165,7258500,16123,11703000
1986,165,7403300,18806,13923000
1987,165,7706200,15593,12015900
1988,165,7308400,17343,12675100
1989,165,7729600,18655,14419200
1990,165,7844500,18249,14315500
1991,165,7911400,18410,14565000
1992,165,7877600,19910,15684200
1993,165,8299700,19466,16156500
1994,165,8034200,18935,15213000
1995,165,8169800,20811,17002400
1996,165,8376500,20184,16907400
1997,165,8109100,20533,16650500
1998,165,8354600,22376,18694000
1999,165,8229900,21698,17857600
2000,165,8463000,24907,21078600
2001,165,8180800,23254,19023700
2002,165,8057500,22621,18226500
2003,165,8033900,23878,19183300
2004,165,8216200,23733,19499800
2005,165,8358000,25858,21612300
2006,165,8447900,25186,21276900
2007,165,8578000,27156,23294600
2008,165,8549800,24514,20958800
2009,165,9046000,26568,24033000
2010,165,9131600,25528,23310800
2011,165,8900700,28328,25213800
2012,165,8649800,27138,23473400
2013,165,8660077,27957,24211360
2014,165,9199318,28241,25979399
2015,165,9203874,27256,25086174
2016,165,9224000,27789,25633000
2017,165,8972000,29730,26674000
1961,351,25567759,5591,14294248
1962,351,24071371,6941,16707100
1963,351,23764512,7782,18493747
1964,351,25391511,8215,20859709
