Year,Country,Area_harvested,Yield ,Production
1961,Pakistan,4639000,8222,3814000
1962,Pakistan,4923000,8178,4026000
1963,Pakistan,5022000,8303,4170000
1964,Pakistan,5019000,8292,4162000
1965,Pakistan,5318000,8631,4590000
1966,Pakistan,5155000,7597,3916000
1967,Pakistan,5344000,8110,4334000
1968,Pakistan,5983000,10727,6418000
1969,Pakistan,6160000,10744,6618000
1970,Pakistan,6229000,11710,7294000
1971,Pakistan,5977609,10833,6475693
1972,Pakistan,5797000,11887,6890851
1973,Pakistan,5970649,12465,7442570
1974,Pakistan,6112691,12480,7628503
1975,Pakistan,5812310,13202,7673440
1976,Pakistan,6110599,14222,8690713
1977,Pakistan,6390069,14310,9143873
1978,Pakistan,6360000,13156,8367200
1979,Pakistan,6687100,14879,9950000
1980,Pakistan,6923700,15680,10856500
1981,Pakistan,6983700,16431,11474600
1982,Pakistan,7222900,15651,11304200
1983,Pakistan,7397900,16781,12414400
1984,Pakistan,7343200,14819,10881900
1985,Pakistan,7258500,16123,11703000
1986,Pakistan,7403300,18806,13923000
1987,Pakistan,7706200,15593,12015900
1988,Pakistan,7308400,17343,12675100
1989,Pakistan,7729600,18655,14419200
1990,Pakistan,7844500,18249,14315500
1991,Pakistan,7911400,18410,14565000
1992,Pakistan,7877600,19910,15684200
1993,Pakistan,8299700,19466,16156500
1994,Pakistan,8034200,18935,15213000
1995,Pakistan,8169800,20811,17002400
1996,Pakistan,8376500,20184,16907400
1997,Pakistan,8109100,20533,16650500
1998,Pakistan,8354600,22376,18694000
1999,Pakistan,8229900,21698,17857600
2000,Pakistan,8463000,24907,21078600
2001,Pakistan,8180800,23254,19023700
2002,Pakistan,8057500,22621,18226500
2003,Pakistan,8033900,23878,19183300
2004,Pakistan,8216200,23733,19499800
2005,Pakistan,8358000,25858,21612300
2006,Pakistan,8447900,25186,21276900
2007,Pakistan,8578000,27156,23294600
2008,Pakistan,8549800,24514,20958800
2009,Pakistan,9046000,26568,24033000
2010,Pakistan,9131600,25528,23310800
2011,Pakistan,8900700,28328,25213800
2012,Pakistan,8649800,27138,23473400
2013,Pakistan,8660077,27957,24211360
2014,Pakistan,9199318,28241,25979399
2015,Pakistan,9203874,27256,25086174
2016,Pakistan,9224000,27789,25633000
2017,Pakistan,8972000,29730,26674000
1961,China,25567759,5591,14294248
1962,China,24071371,6941,16707100
1963,China,23764512,7782,18493747
1964,China,25391511,8215,20859709
1965,China,24696127,10222,25243492
1966,China,23908507,10586,25308507
1967,China,25285891,11275,28508872
1968,China,24640724,11149,27472126
1969,China,25141668,10856,27294958
1970,China,25435011,11476,29188672
1971,China,25615036,12718,32577354
1972,China,26276672,13695,35986554
1973,China,26412386,13337,35225929
1974,China,27034304,15116,40865746
1975,China,27634276,16397,45313042
1976,China,28380502,17754,50386232
1977,China,28037566,14650,41076295
1978,China,29184159,18449,53842395
